CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED
C100000,zero,660.0000000000001,19995.0,0,0,897338,False,4,3,160.0,155,1,1.2,15,very_unsat,little,considering,STAY
C100001,one,317.6470588235295,31477.0,155,15,393396,True,0,1,100.0,245,27,2.7,4,unsat,little,considering,LEAVE
C100006,zero,208.69565217391306,66742.0,0,13,937197,False,4,2,127.0,493,20,2.6,4,avg,very_little,considering,STAY
C100008,zero,265.0176678445229,40864.0,183,0,986430,False,3,3,86.0,390,13,2.5,12,unsat,very_high,considering,LEAVE
C100010,one,440.00000000000006,43321.5,200,0,394622,True,2,3,77.0,175,18,2.4,10,very_unsat,little,actively_looking_into_it,LEAVE
C100011,one,840.0,18786.5,0,15,475819,True,1,2,143.0,187,0,3.8,4,very_unsat,very_high,actively_looking_into_it,STAY
C100012,zero,264.00000000000006,46515.5,0,15,150498,True,3,1,191.0,363,1,3.2,4,very_unsat,very_high,never_thought,STAY
C100013,one,141.06583072100312,90444.5,168,37,183605,True,5,3,217.0,539,28,2.0,2,very_sat,very_high,no,STAY
C100014,zero,483.8709677419355,94779.5,179,0,677946,False,1,2,204.0,208,23,2.5,11,very_unsat,high,considering,LEAVE
C100015,one,276.3157894736842,64602.5,204,24,270004,True,0,1,167.0,313,16,1.8,4,very_unsat,little,considering,STAY
C100016,one,267.3267326732673,53028.5,42,6,722147,False,3,3,121.0,270,5,1.8,6,very_sat,little,no,STAY
C100017,zero,330.7692307692308,42003.5,0,29,369274,True,4,2,248.0,165,1,3.3,2,very_unsat,very_little,actively_looking_into_it,LEAVE
C100018,one,183.67346938775506,72575.5,47,0,635803,False,3,1,89.0,749,5,1.9,14,very_unsat,little,actively_looking_into_it,STAY
C100020,one,600.0,13767.5,0,10,374054,True,2,3,133.0,235,1,4.0,6,very_unsat,little,considering,LEAVE
C100021,one,138.92365456821028,31853.0,209,49,441115,True,2,2,136.0,211,28,2.7,1,unsat,very_little,actively_looking_into_it,LEAVE
C100022,one,574.074074074074,72120.0,62,13,718993,False,0,3,210.0,587,4,2.1,4,avg,high,considering,STAY
C100023,one,364.48598130841117,40449.0,34,8,445875,True,3,2,228.0,835,4,3.6,5,sat,avg,considering,STAY
C100024,one,618.1818181818182,54807.0,65,0,283817,True,2,3,149.0,305,5,3.4,15,very_sat,little,never_thought,STAY
C100025,zero,64.23982869379016,19763.0,54,78,188852,True,4,1,121.0,312,5,1.0,2,unsat,very_little,considering,STAY
C100026,zero,810.0,46122.0,0,11,240074,True,1,4,95.0,315,4,2.7,6,very_unsat,little,actively_looking_into_it,STAY
C100027,one,392.3076923076923,61519.5,160,8,957540,False,1,1,93.0,374,28,3.4,4,very_sat,little,no,STAY
C100028,zero,187.5,73637.0,0,14,365137,True,4,2,156.0,586,1,1.5,5,avg,very_little,no,STAY
C100029,one,299.0033222591362,46359.5,201,0,619334,False,3,4,186.0,392,24,2.0,13,very_unsat,little,perhaps,STAY
C100030,zero,813.8297872340424,71291.0,88,12,927493,False,1,3,177.0,641,4,3.1,6,very_unsat,high,actively_looking_into_it,LEAVE
C100031,zero,16.759776536312845,49277.0,168,9,991551,False,2,4,168.0,322,22,1.2,5,avg,little,considering,STAY
C100036,zero,1650.0,74429.5,0,0,927340,False,3,3,228.0,563,0,6.5,15,very_sat,high,actively_looking_into_it,STAY
C100037,one,1020.0,20848.5,0,59,387068,True,1,3,92.0,203,1,1.4,2,very_sat,little,actively_looking_into_it,LEAVE
C100038,one,455.8303886925795,89747.5,183,0,529329,True,5,3,131.0,610,13,3.3,10,very_unsat,little,never_thought,LEAVE
